🕘️更新时间,26/01/10-06:56:07

📺央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
CCTV-1,http://180.105.201.170:9981/rtp/239.49.8.129:6000
CCTV-1,http://114.241.250.59:4022/rtp/239.3.1.129:8008
CCTV-1,http://115.58.216.71:4000/rtp/225.1.4.73:1102
CCTV-1,http://113.119.24.25:58888/udp/239.77.1.144:5146
CCTV-1,http://115.171.216.188:4000/rtp/225.1.8.33:8002
CCTV-1,http://115.171.216.84:4000/rtp/225.1.8.33:8002
CCTV-1,http://180.105.201.170:9981/rtp/239.49.8.19:9614
CCTV-1,http://27.184.29.38:12312/rtp/239.254.200.45:8008
CCTV-1,http://114.100.195.156:4022/rtp/238.1.78.166:7200
CCTV-2,http://114.241.250.59:4022/rtp/239.3.1.60:8084
CCTV-2,http://183.236.43.98:4013/udp/239.77.1.158:5146
CCTV-2,http://115.58.216.71:4000/rtp/225.1.4.74:1103
CCTV-2,http://114.100.195.156:4022/rtp/238.1.78.235:7752
CCTV-2,http://113.119.24.25:58888/udp/239.77.1.158:5146
CCTV-2,http://144.255.16.69:6688/udp/239.21.1.151:5002
CCTV-2,http://180.105.201.170:9981/rtp/239.49.8.50:9802
CCTV-2,http://115.171.80.52:1688/rtp/225.1.8.2:8084
CCTV-2,http://180.105.201.170:9981/rtp/239.49.8.130:6000
CCTV-2,http://27.191.200.180:19999/rtp/239.254.200.158:6000
CCTV-3,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://yp.qqqtv.top/1/api.php?id=CCTV-3HD&auth=666858
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-3,http://183.236.43.98:4013/udp/239.77.0.169:5146
CCTV-3,http://114.241.250.59:4022/rtp/239.3.1.172:8001
CCTV-3,http://27.184.29.38:12312/rtp/239.254.201.152:7205
CCTV-3,http://115.58.216.71:4000/rtp/225.1.4.158:1194
CCTV-3,http://27.191.200.180:19999/rtp/239.254.201.152:7205
CCTV-3,http://115.171.216.84:4000/rtp/225.1.8.88:8000
CCTV-4,http://38.75.136.137:98/gslb/dsdqca/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://yp.qqqtv.top/1/api.php?id=CCTV-4HD&auth=666858
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://114.241.250.59:4022/rtp/239.3.1.105:8092
CCTV-4,http://115.58.216.71:4000/rtp/225.1.5.30:1333
CCTV-4,http://27.191.200.180:19999/rtp/239.254.200.190:6307
CCTV-4,http://113.119.24.25:58888/udp/239.77.1.163:5146
CCTV-4,http://27.184.29.38:12312/rtp/239.254.200.190:6307
CCTV-4,http://115.171.216.188:4000/rtp/225.1.8.4:8092
CCTV-5,http://38.75.136.137:98/gslb/dsdqca/cctv5hd.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5,http://yp.qqqtv.top/1/api.php?id=CCTV-5%2BHD&auth=666858
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5,http://23.237.228.134/live5/CCTV5.m3u8
CCTV-5,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV-5,http://183.236.43.98:4013/udp/239.77.0.170:5146
CCTV-5,http://114.100.195.156:4022/rtp/238.1.78.171:7240
CCTV-5,http://115.58.216.71:4000/rtp/225.1.4.159:1195
CCTV-6,http://38.75.136.137:98/gslb/dsdqca/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://yp.qqqtv.top/1/api.php?id=CCTV-6HD&auth=666858
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://115.58.216.71:4000/rtp/225.1.4.160:1196
CCTV-6,http://114.241.250.59:4022/rtp/239.3.1.174:8001
CCTV-6,http://113.119.24.25:58888/udp/239.77.0.171:5146
CCTV-6,http://27.184.29.38:12312/rtp/239.254.201.154:7207
CCTV-6,http://115.171.216.188:4000/rtp/225.1.8.84:8000
CCTV-6,http://115.171.80.52:1688/rtp/225.1.8.84:8000
CCTV-6,http://27.191.200.180:19999/rtp/239.254.201.154:7207
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-7,http://yp.qqqtv.top/1/api.php?id=CCTV-7HD&auth=666858
CCTV-7,http://38.75.136.137:98/gslb/dsdqca/cctv7hd.m3u8?auth=test20251009
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-7,http://1.24.39.180:9003/hls/7/index.m3u8
CCTV-7,http://114.241.250.59:4022/rtp/239.3.1.61:8104
CCTV-7,http://115.171.216.84:4000/rtp/225.1.8.7:8104
CCTV-7,http://115.58.216.71:4000/rtp/225.1.4.76:1105
CCTV-7,http://27.191.200.180:19999/rtp/239.254.200.159:6000
CCTV-7,http://113.119.24.25:58888/udp/239.77.0.138:5146
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-8,http://114.241.250.59:4022/rtp/239.3.1.175:8001
CCTV-8,http://115.171.216.84:4000/rtp/225.1.8.85:8000
CCTV-8,http://27.191.200.180:19999/rtp/239.254.201.155:7208
CCTV-8,http://115.171.216.188:4000/rtp/225.1.8.85:8000
CCTV-8,http://144.255.16.69:6688/udp/239.21.2.48:5002
CCTV-8,http://113.119.24.25:58888/udp/239.77.0.172:5146
CCTV-8,http://115.58.216.71:4000/rtp/225.1.4.161:1197
CCTV-8,http://114.100.195.156:4022/rtp/238.1.78.173:7256
CCTV-8,http://115.171.80.52:1688/rtp/225.1.8.85:8000
CCTV-9,http://yp.qqqtv.top/1/api.php?id=CCTV-9HD&auth=666858
CCTV-9,http://114.241.250.59:4022/rtp/239.3.1.62:8112
CCTV-9,http://180.105.201.170:9981/rtp/239.49.8.53:9814
CCTV-9,http://114.100.195.156:4022/rtp/238.1.78.240:7792
CCTV-9,http://115.171.216.84:4000/rtp/225.1.8.9:8112
CCTV-9,http://27.184.29.38:12312/rtp/239.254.200.59:8112
CCTV-9,http://113.119.24.25:58888/udp/239.77.0.135:5146
CCTV-9,http://115.58.216.71:4000/rtp/225.1.4.77:1106
CCTV-9,http://27.191.200.180:19999/rtp/239.254.200.59:8112
